time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
11:35:15.083,-0.01,0.01,0.1,0,-0.04,-0.33,0.04,0
11:35:15.094,-0.01,0.01,0.1,0,-0.04,-0.33,0.04,0
11:35:15.106,0.01,-0.01,-0.08,0.04,0.04,0.21,-0.04,0
11:35:15.117,-0.01,-0.01,-0.15,-0.02,-0.04,-0.03,-0.08,0
11:35:15.127,-0.01,-0.01,-0.15,-0.02,-0.04,-0.03,-0.08,0
11:35:15.137,-0.01,-0.01,-0.03,0,-0.01,0.02,0.06,0.01
11:35:15.148,-0.02,-0.04,-0.07,-0.04,-0.04,0.23,-0.03,-0.05
11:35:15.191,0,-0.01,-0.03,0,-0.01,0.21,0.04,0.02
11:35:15.202,0,-0.03,-0.03,-0.04,0.05,0.26,0,0.03
11:35:15.215,0,-0.03,-0.03,-0.04,0.05,0.26,0,0.03
11:35:15.225,0,-0.02,-0.08,-0.02,0.01,-0.04,-0.23,-0.02
11:35:15.235,0,-0.02,-0.08,-0.02,0.01,-0.04,-0.23,-0.02
11:35:15.246,0,-0.04,-0.06,-0.04,-0.03,0.01,0.01,0
